Equipamento de armazenamento exclusivo para as vacinas,Notificações de Alterações de Temperatura em Equipamentos,Norma Municipal para Busca Ativa Vacinal,Sala de vacina climatizada,Sala de vacina dispõe de paredes e pisos laváveis e de fácil higienização,Controle pela ESF do acompanhamento das crianças de 0-1 ano de idade com vacinação em atraso,Equipes Completa nas UBS do Município,Como é registrada a data de abertura do frasco em vacinas multidose,Temperatura no painel do equipamento entre 2°C e 8°C,Documentos da designação formal do responsável técnico,Há controle de acesso por meio de chave ou senha à área das vacinas,Análise das Capacitações das Equipes de Vacinação,Registro/envio de Falta de Imunobiológicos e Insumos,Foi verificada a falta de quais vacinas listadas abaixo,A sala de vacina é utilizada exclusivamente para este fim,Fiscalização das Salas de Vacinas pelo Coordenador do PNI,Agentes da ESF realizaram busca ativa de crianças de 0-1 ano com vacinação em atraso em abril/2023,Atribuições dos Coordenadores do PNI em Regimento Interno,Marque quais dos itens abaixo estão FALTANDO na sala de vacina inspecionada,O equipamento de refrigeração está susceptível à luz solar direta,Tipos de equipamentos utilizados para estocagem das vacinas,Como é feito o registro da vacinação,Enfermeiro Substituto em Todas as UBS,Anotações diárias da temperatura em formulário próprio,Documentos da última supervisão realizada pela Gestão de saúde municipal nas salas de vacinação,Temperatura interna do equipamento está sendo monitorada por termômetro,Painel de exibição de temperatura funcional,Mnutenção dentro da data de validade,Registro de Perdas por Validade Expirada de Vacinas,Materiais perfurocortantes são descartados adequadamente,Mecanismo de proteção contra queda de energia,Quantitativo de crianças de 0-1 ano de idade com calendário vacinal em atraso em abril/2023,Turno Estendido nas Unidades Básicas de Saúde,A temperatura interna das caixas térmicas/isopor com vacinas está sendo monitorada continuamente,Quantitativo de crianças de 0-1 ano de idade cadastradas na UBS,Houve alteração anormal da temperatura do equipamento que armazena as vacinas,Equipamento mal conservado ou com problemas de funcionamento,Campanhas de Conscientização em Mídia pela UJ,Vacinação em Crianças de 0-6 Anos nas Escolas durante 2022/2023,Existem caixas térmicas/isopores sendo utilizadas para outras finalidades,Tomada elétrica é exclusiva do equipamento,Documentos da última manutenção nos equipamentos de refrigeração,Município,As seringas e agulhas estão em recipientes fechados e limpos,Calendário vacinal afixado em local visível,Cobertura Vacinal
1.0,1,0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1,0.5,1.0,0,1.0,0.5,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.75,1.0,1.0,0.75,1,1,1.0,1.0,0.0,João Alfredo,1.0,0.0,0.9858
1.0,1,0,1.0,0.7777777777777778,1.0,1,1.0,1.0,1.0,0.8888888888888888,0.5,0,0.8888888888888888,1.0,0,1.0,0.5,0.0,1.0,0.8888888888888888,0.5555555555555556,1.0,0.4444444444444444,1.0,1.0,1.0,0.0,1,1.0,0.8888888888888888,0.3333333333333333,0.5,0.8888888888888888,1.0,0.7777777777777778,0.8888888888888888,1,0,1.0,1.0,0.0,Condado,1.0,0.3333333333333333,0.933475
1.0,1,0,1.0,1.0,0.1111111111111111,1,1.0,1.0,1.0,0.8888888888888888,0.5,1,1.0,1.0,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.5,1.0,0.8333333333333334,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,0.4444444444444444,1,0,1.0,1.0,0.1111111111111111,Salgadinho,1.0,0.3333333333333333,0.804025
1.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0.8333333333333334,1.0,1,0.8333333333333334,1.0,0,1.0,0.5,0.8333333333333334,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.5,0.0,0.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1,1,1.0,1.0,0.0,Caetés,1.0,0.8333333333333334,1.1151
1.0,1,0,0.9166666666666666,0.6666666666666666,1.0,0,1.0,1.0,0.0,0.5833333333333334,0.5,0,1.0,1.0,0,1.0,0.5,0.25,0.75,0.9166666666666666,0.5,0.0,0.75,0.0833333333333333,1.0,1.0,0.9166666666666666,0,1.0,0.9166666666666666,0.8333333333333334,0.0,1.0,1.0,0.8333333333333334,0.9166666666666666,1,1,1.0,0.9166666666666666,0.9166666666666666,Tracunhaém,0.9166666666666666,0.8333333333333334,0.884225
1.0,0,0,0.9,0.6,0.5,0,1.0,0.8,0.0,0.8,0.0,0,0.9,1.0,0,0.9,0.5,0.0,0.6,0.0,0.5,0.0,0.9,0.0,0.8,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.8,0.4,0,0,1.0,0.9,0.0,Xexéu,1.0,0.9,0.7582
1.0,1,0,1.0,0.8,1.0,0,1.0,1.0,1.0,1.0,0.5,1,1.0,0.8,0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0.0,Gameleira,1.0,1.0,0.8921000000000001
1.0,1,0,1.0,0.4,0.6,1,1.0,1.0,0.8,1.0,1.0,1,1.0,1.0,1,0.2,1.0,0.0,0.6,0.4,0.6,0.0,0.6,1.0,1.0,1.0,0.0,0,0.8,0.4,0.0,0.0,0.6,1.0,1.0,0.8,1,1,1.0,0.8,0.0,Capoeiras,0.2,0.0,0.910425
1.0,1,0,0.8571428571428571,0.8571428571428571,1.0,1,0.8571428571428571,0.8571428571428571,0.0,1.0,0.0,0,1.0,1.0,0,0.8571428571428571,0.5,0.7142857142857143,1.0,0.2857142857142857,0.7857142857142857,0.0,0.5714285714285714,0.0,1.0,1.0,0.0,0,1.0,0.2857142857142857,0.8571428571428571,0.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0,0,1.0,1.0,0.0,Toritama,1.0,0.8571428571428571,0.8274750000000001
1.0,0,0,1.0,0.9230769230769232,0.0,1,0.9230769230769232,1.0,0.0,1.0,1.0,0,0.9230769230769232,1.0,0,0.0,0.5,1.0,1.0,0.1538461538461538,1.0,0.0,0.9615384615384616,1.0,1.0,1.0,0.0,0,1.0,0.1538461538461538,1.0,0.0,1.0,1.0,0.9230769230769232,1.0,1,1,1.0,0.9230769230769232,0.0,Ibimirim,1.0,0.6153846153846154,0.8129249999999999
1.0,1,1,1.0,0.5714285714285714,1.0,1,0.8571428571428571,1.0,1.0,0.5714285714285714,0.0,0,0.8571428571428571,1.0,0,1.0,1.0,0.2857142857142857,1.0,0.5714285714285714,1.0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,0,1.0,0.7142857142857143,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,Sertânia,0.8571428571428571,1.0,0.7811
1.0,1,1,0.4545454545454545,0.4545454545454545,0.0,0,0.8181818181818182,0.6363636363636364,1.0,0.2727272727272727,1.0,1,0.9090909090909092,0.9090909090909092,0,0.0,0.0,0.0909090909090909,0.9090909090909092,0.0,1.0,0.0,0.5909090909090909,1.0,0.9090909090909092,1.0,1.0,1,0.8181818181818182,0.0,0.1818181818181818,0.0,0.5454545454545454,1.0,0.0909090909090909,0.5454545454545454,1,1,1.0,1.0,1.0,Araçoiaba,0.9090909090909092,0.0,0.8958250000000001
1.0,1,0,1.0,0.8,1.0,1,1.0,1.0,0.2,1.0,0.5,0,1.0,1.0,0,1.0,0.0,0.8,1.0,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0,1.0,0.2,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,Santa Maria do Cambucá,1.0,0.6,0.86555
1.0,1,0,0.8333333333333334,1.0,0.0,1,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0,0.5,1.0,0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.8333333333333334,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1,1,1.0,1.0,1.0,Itambé,1.0,0.5,1.2798
1.0,1,1,0.7777777777777778,0.1111111111111111,0.0,1,1.0,0.5555555555555556,0.0,0.8888888888888888,0.5,0,0.5555555555555556,1.0,0,0.0,0.0,0.0,1.0,0.0,0.7222222222222222,1.0,0.7777777777777778,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.5,1.0,1.0,0.2222222222222222,0.5555555555555556,1,0,1.0,1.0,0.0,Timbaúba,1.0,0.0,0.97315
1.0,1,1,0.9230769230769232,0.9230769230769232,1.0,1,0.9230769230769232,1.0,0.0,0.9230769230769232,1.0,1,1.0,0.9230769230769232,0,0.0,0.5,0.0,0.7692307692307693,0.0,0.7692307692307693,0.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.8461538461538461,1.0,0.9230769230769232,0.6923076923076923,1,1,1.0,1.0,0.0,Belém de Maria,0.9230769230769232,0.0,0.70835
1.0,1,1,1.0,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0,0.5,1.0,1,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1,1.0,0.75,1.0,0.0,1.0,1.0,0.75,1.0,1,1,1.0,1.0,0.0,Brejão,1.0,1.0,0.98275
1.0,1,0,1.0,0.8333333333333334,1.0,1,1.0,1.0,1.0,1.0,0.5,0,1.0,1.0,0,1.0,0.0,0.5,1.0,0.0833333333333333,1.0,0.0,1.0,1.0,1.0,1.0,0.5833333333333334,1,1.0,0.0833333333333333,1.0,0.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,Ilha de Itamaracá,1.0,1.0,0.434475
1.0,1,0,1.0,0.9090909090909092,0.0,1,1.0,1.0,0.0,1.0,0.5,0,0.8181818181818182,1.0,0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,1.0,0.3636363636363636,0.0,1.0,1.0,0.9090909090909092,1.0,1,0,1.0,1.0,0.9090909090909092,Itaquitinga,1.0,0.8181818181818182,0.93905
1.0,1,1,1.0,0.4166666666666667,0.0,1,0.9166666666666666,0.75,0.0833333333333333,0.9166666666666666,1.0,0,0.8333333333333334,1.0,0,0.0,0.5,0.0,0.9166666666666666,0.0,1.0,0.0,0.9166666666666666,0.0,1.0,1.0,0.0,0,0.75,0.0,0.0833333333333333,0.0,0.9166666666666666,1.0,0.5,0.9166666666666666,0,1,1.0,0.8333333333333334,0.3333333333333333,Aliança,1.0,0.0833333333333333,1.016575
1.0,1,0,0.9090909090909092,0.9090909090909092,0.0,0,1.0,0.9090909090909092,0.0,0.9090909090909092,0.5,0,1.0,0.9090909090909092,1,0.0,1.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.9090909090909092,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0909090909090909,0.0,0.8181818181818182,1.0,0.8181818181818182,0.2727272727272727,0,0,1.0,1.0,0.1818181818181818,Paulista,1.0,0.7272727272727273,0.4550249999999999
1.0,1,0,0.6666666666666666,1.0,1.0,1,1.0,0.8888888888888888,0.0,1.0,0.5,0,0.7777777777777778,1.0,0,0.0,0.0,0.5555555555555556,0.7777777777777778,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1,1.0,0.4444444444444444,0.0,0.0,0.8888888888888888,1.0,0.6666666666666666,0.7777777777777778,0,0,1.0,0.8888888888888888,0.0,Maraial,1.0,0.8888888888888888,0.8757250000000001
1.0,0,1,1.0,1.0,1.0,1,1.0,0.5,1.0,0.5,0.5,1,1.0,1.0,0,0.0,0.5,0.0,0.75,0.0,1.0,0.0,0.875,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.75,1,1,1.0,1.0,0.0,Alagoinha,0.75,0.75,0.807275
1.0,0,0,0.7142857142857143,0.8571428571428571,1.0,1,1.0,0.8571428571428571,0.0,1.0,0.0,0,1.0,0.8571428571428571,0,1.0,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.9285714285714286,0.0,0.9285714285714286,0.0,1.0,1.0,1.0,0,1.0,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.4285714285714285,0.7142857142857143,1,0,1.0,1.0,1.0,Buíque,0.7142857142857143,0.5714285714285714,0.965
1.0,1,0,1.0,0.8181818181818182,1.0,0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1,1.0,1.0,0.1818181818181818,1.0,0.0,0.5,1.0,1.0,0.3636363636363636,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9090909090909092,1.0,1,1,1.0,1.0,0.0,Limoeiro,1.0,1.0,0.95505
1.0,1,0,0.0,0.8888888888888888,0.0,1,1.0,1.0,0.0,0.5555555555555556,1.0,0,0.7777777777777778,1.0,0,0.0,0.5,0.0,0.8888888888888888,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0,1,1.0,1.0,0.0,Lajedo,0.6666666666666666,0.0,0.9331
1.0,1,0,0.7142857142857143,1.0,0.8571428571428571,1,1.0,0.8571428571428571,1.0,1.0,0.0,1,1.0,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8571428571428571,1,1.0,0.0,0.5714285714285714,0.0,1.0,1.0,0.8571428571428571,0.4285714285714285,1,1,1.0,1.0,1.0,Poção,1.0,0.7142857142857143,0.899375
1.0,1,0,1.0,0.4,0.0,1,0.8,1.0,1.0,0.8,0.5,0,0.6,1.0,0,0.8,0.5,0.0,1.0,0.2,0.8,0.5,0.6,0.0,1.0,1.0,0.2,0,1.0,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,0.8,0.0,Ibirajuba,0.6,0.0,1.1380249999999998
1.0,1,0,0.5,0.1,0.2,1,1.0,0.7,0.0,0.8,0.5,0,0.7,1.0,0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.85,0.0,1.0,1.0,0.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.8,1,1,1.0,1.0,0.0,Pesqueira,0.8,1.0,0.7316749999999999
1.0,1,0,0.9,0.5,1.0,1,1.0,0.9,1.0,0.9,1.0,1,0.9,0.9,0,0.0,0.5,0.0,0.8,0.0,1.0,1.0,0.95,1.0,1.0,1.0,0.9,1,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.9,0,0,0.9,1.0,1.0,Arcoverde,0.7,0.9,0.8240000000000001
1.0,1,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1.0,0.8333333333333334,1.0,1.0,0.0,0,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.5,0.1666666666666666,0.8333333333333334,0.1666666666666666,1.0,0.5,0.9166666666666666,0.0,1.0,1.0,0.0,0,1.0,0.1666666666666666,0.5,0.0,1.0,1.0,0.8333333333333334,1.0,1,0,1.0,1.0,0.0,Jupi,1.0,0.1666666666666666,0.964675
1.0,1,0,1.0,0.5555555555555556,0.0,1,1.0,1.0,0.0,1.0,0.5,1,1.0,1.0,0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,0.8888888888888888,0.7777777777777778,Camocim de São Félix,1.0,0.0,0.97645
1.0,1,0,1.0,0.0,0.0,1,1.0,0.8,0.0,0.8,0.5,1,1.0,1.0,0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.8,0.6,1,1,1.0,1.0,1.0,Belo Jardim,1.0,1.0,0.930375
1.0,1,0,0.3333333333333333,0.3333333333333333,1.0,1,0.8888888888888888,0.8888888888888888,0.0,0.4444444444444444,1.0,1,0.7777777777777778,0.8888888888888888,0,0.1111111111111111,0.5,0.0,1.0,0.0,0.8333333333333334,0.0,0.5,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5555555555555556,1.0,1.0,1.0,0.1111111111111111,0.5555555555555556,1,1,1.0,1.0,0.0,Lagoa de Itaenga,0.7777777777777778,0.5555555555555556,0.8687999999999999
1.0,1,0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.5,1,1.0,1.0,0,0.0,0.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1,1,1.0,1.0,0.6666666666666666,Camutanga,1.0,1.0,1.08065
1.0,1,0,0.7692307692307693,0.5384615384615384,0.0769230769230769,1,1.0,0.9230769230769232,0.0,0.6923076923076923,0.5,0,0.9230769230769232,1.0,0,0.9230769230769232,1.0,0.0,1.0,0.0,1.0,0.0,0.8846153846153846,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.3846153846153846,1.0,1,1,1.0,1.0,0.0,Bom Jardim,1.0,1.0,0.90775
1.0,1,0,0.8333333333333334,0.9166666666666666,1.0,1,1.0,0.5,0.0,1.0,0.5,0,0.8333333333333334,1.0,0,1.0,0.5,0.0,0.9166666666666666,0.0833333333333333,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,0.0833333333333333,0,1.0,0.0833333333333333,0.5833333333333334,0.0,1.0,1.0,0.3333333333333333,1.0,0,0,1.0,0.8333333333333334,0.0,Nazaré da Mata,1.0,0.1666666666666666,0.7769750000000001
1.0,0,0,0.9,0.35,0.0,1,1.0,0.8,0.0,0.6,1.0,0,0.95,0.9,0,0.0,0.5,0.0,0.5,0.25,0.7,0.0,0.95,1.0,1.0,1.0,0.0,0,1.0,0.25,0.7,0.0,0.95,1.0,0.95,0.85,1,1,1.0,0.95,0.0,Angelim,0.85,0.05,1.060225
1.0,0,0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.8181818181818182,0.5,1,0.9090909090909092,1.0,0,1.0,0.0,1.0,0.9090909090909092,0.0,1.0,1.0,0.9090909090909092,0.1363636363636363,1.0,1.0,0.4545454545454545,1,1.0,0.0,0.3636363636363636,0.0,1.0,1.0,0.8181818181818182,1.0,0,1,1.0,1.0,1.0,São João,1.0,1.0,0.99765
1.0,1,0,1.0,1.0,1.0,0,0.8,1.0,1.0,1.0,0.5,1,1.0,1.0,0,1.0,0.5,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,1.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8,1,0,1.0,1.0,1.0,Iati,1.0,0.4,0.862875
1.0,1,0,1.0,0.0,1.0,1,1.0,0.8333333333333334,1.0,1.0,0.5,0,1.0,1.0,0,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.9166666666666666,1.0,1.0,1.0,0.0,0,1.0,0.0,0.6666666666666666,0.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1,1,0.8333333333333334,1.0,0.0,Gravatá,0.8333333333333334,0.5,0.8270000000000001
1.0,1,0,0.8333333333333334,1.0,0.0,1,0.9166666666666666,1.0,0.0,1.0,0.5,1,1.0,1.0,0,0.0,1.0,0.5,0.75,0.0,0.6666666666666666,0.0,1.0,1.0,0.9166666666666666,1.0,0.4166666666666667,1,1.0,0.0,0.4166666666666667,0.5,0.8333333333333334,1.0,1.0,1.0,1,1,1.0,1.0,0.0,Araripina,1.0,0.0,0.868725
1.0,1,0,1.0,0.7857142857142857,1.0,0,1.0,0.5714285714285714,1.0,1.0,0.5,0,1.0,1.0,0,0.0,0.0,0.0,0.6428571428571429,0.0,0.6071428571428571,1.0,0.5,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.1428571428571428,0.5714285714285714,1,1,1.0,1.0,0.0,Ouricuri,1.0,0.7857142857142857,0.811925
1.0,0,0,1.0,1.0,1.0,0,1.0,0.7142857142857143,1.0,1.0,0.0,0,0.7142857142857143,1.0,0,1.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,0,1.0,0.2857142857142857,1.0,0.5,1.0,1.0,0.7142857142857143,1.0,0,0,1.0,1.0,0.2857142857142857,Chã de Alegria,0.8571428571428571,0.0,0.7525
1.0,1,0,0.9090909090909092,0.8181818181818182,0.0,1,1.0,1.0,1.0,1.0,0.5,1,0.9090909090909092,1.0,0,0.7272727272727273,0.5,0.0,0.8181818181818182,0.0909090909090909,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0909090909090909,0.7272727272727273,0.0,1.0,1.0,0.3636363636363636,1.0,1,1,1.0,1.0,0.1818181818181818,Cabrobó,1.0,0.5454545454545454,0.997275
1.0,1,0,0.8181818181818182,0.0909090909090909,1.0,1,1.0,1.0,1.0,0.9090909090909092,0.5,1,0.9090909090909092,1.0,0,1.0,0.5,0.0,0.9090909090909092,0.0,1.0,1.0,0.9545454545454546,0.0,1.0,1.0,0.8181818181818182,1,1.0,0.1818181818181818,0.8181818181818182,0.0,1.0,1.0,0.8181818181818182,1.0,1,1,1.0,1.0,1.0,Saloá,1.0,1.0,1.106175
1.0,1,0,0.9090909090909092,0.8181818181818182,0.0,0,1.0,1.0,0.0,0.7272727272727273,0.0,0,1.0,1.0,0,1.0,0.0,0.5454545454545454,0.7272727272727273,0.0,1.0,1.0,0.9545454545454546,0.6363636363636364,1.0,1.0,0.0,0,1.0,0.0,0.0909090909090909,0.0,1.0,1.0,0.5454545454545454,0.9090909090909092,1,0,1.0,1.0,1.0,Sirinhaém,0.6363636363636364,1.0,0.71315
1.0,0,1,0.6,0.1,1.0,1,1.0,0.9,1.0,0.3,0.0,0,1.0,0.9,0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.2,1,1,1.0,0.7,0.0,Floresta,0.6,0.6,0.6489
1.0,1,0,1.0,0.25,0.5,1,1.0,1.0,0.0,1.0,0.5,0,1.0,1.0,1,0.75,0.5,0.25,1.0,0.75,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0.75,1.0,0.5,1.0,1.0,0.75,1.0,1,1,1.0,1.0,0.0,Jucati,0.75,1.0,1.03635
1.0,1,0,0.8888888888888888,1.0,1.0,0,1.0,0.6666666666666666,1.0,1.0,0.5,1,1.0,1.0,0,0.0,0.5,0.1111111111111111,0.8888888888888888,0.3333333333333333,1.0,0.5,0.9444444444444444,1.0,1.0,1.0,0.0,1,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.5555555555555556,1.0,1,1,1.0,1.0,0.2222222222222222,Lagoa dos Gatos,1.0,1.0,0.657425
1.0,1,0,1.0,0.3333333333333333,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0,0.0,0.5,0.1666666666666666,1.0,0.5,1.0,1.0,1.0,0.1666666666666666,1.0,1.0,0.5,0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1,1,0.8333333333333334,1.0,0.5,São Vicente Férrer,1.0,0.8333333333333334,0.997025
1.0,1,1,1.0,0.7142857142857143,0.0,1,0.4285714285714285,0.8571428571428571,1.0,1.0,1.0,1,1.0,1.0,0,0.0,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0,0.6428571428571429,0.0,1.0,1.0,0.4285714285714285,1,1.0,0.8571428571428571,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0.0,Dormentes,0.8571428571428571,0.0,0.7951999999999999
1.0,1,0,0.9,0.2,0.0,1,1.0,0.9,0.0,0.5,0.5,1,0.6,0.9,0,0.0,0.0,0.0,0.3,0.1,0.95,0.0,0.95,0.0,1.0,1.0,0.0,1,1.0,0.1,1.0,1.0,0.9,1.0,0.5,0.5,1,1,1.0,1.0,0.0,Afrânio,0.9,0.0,0.982225
